runids hlt
a38cb927885b3adee0188f872790752d141849bd 188843.685293015
6d369df2b1955293804fbe8249463ae13c93e57f 182846.884535641
359fc7b11eb6b37c43af3e15109dbb1c5f52da4c 203933.386594578
5f819246a5cdfbf39da26bea98b54825f55877b8 173818.696735068
46ee750e02618ffdeb43761b8116e15bc0c7eb2c 112783.518790808
c7dd806cd02bea3c0d72a845a7bf71eb35dd8f5e 105045.947675373
a3ce1f08226fc4056a654a7c0d605b1924c9eb4b 150171.206797756
b6aa8e93698c518b889b9b4d00ac30a0bd4f75c4 109160.593110502
0ebb87ad24e40db6fdd3733cd0e93d8687caa42e 42516.7130323105
fbb6a547b74a4bd1f17115d88af3bdefd5402ab7 79882.7141404501
27aff2e5d7b9557a3bc8c2bd98bab8ae6b8af98e 55696.3220847385
4bb4356dee90b8df61aa58a2e486f31198e7667d 150497.183928509
d13a83919d7fb69b7f6ab5dfca12f1b2539bd721 6688.36380226507
5f046d1fee729751d1fb31697100b3d75a2ebe71 170343.973281201
fba97526287650dff826cd82a4ea0ea75940ec2b 73895.4839345915
1679d44eb950d457b10e8763a9c156be5dcf9a48 169685.843294263
db30441ede0898af649c07983eaa20f6638e9bde 144598.304198924
44d422daf6271f53dfcf05e0e9c507f8eea8c60b 79974.2112128719
b931c15f7b48a9b47859091ef58502c85bb8222a 31267.1009516519
068132abc7bad6bebd4af63ff76a78d15b845dbd 20142.0961970801
407e055ad1d364621a4e81d070a8039a083703bc 35944.5208470785
78ef6d9668ba00138ac33aba8254f8d98fdfe75a 151322.488796536
fd357c71f1421b17b82fd9d43afab3b42fc86b0f 85132.7890867265
6fc391257ccccb5a0bb3c30922d50e43a50aceb9 29240.3334281862
f22feaa24ad5e740a38d23008d86376114ba9c6f 168312.623057758
edd19725d6b6a5f4a1f59c4e95a164482ad2917d 126953.629117151
9cb62f1abd49707b235a0d86a8ebf05124f6be1d 48004.1831336334
3641ee4bc582198e35847f03ae092e526886dcc5 NA
68b484e55c88fb2137206d0c2afc7cfe3d941976 11957.4312034464
4ab7542610f8e333309477567645c93e6ad39b88 16849.5761183256
34e3ead9e9f6d619eb221b8e8628b0a6cae22893 74251.4056671661
869ccc498f0fdaf311dc540756e4dc984b54dfb3 50993.4659747399
67034a079fdb26ed1d888c6ad819562d35af1e15 80049.7552965058
7fa6173456b49c7a7b07784f02cb16a510f9c1a2 100624.12695722
